name,type,country,city,details,coordinates,latitude,longitude,searches_within_500m,conversions_within_500m,conversion_rate,stashpoints_within_500m
Caja Granada Cultural Center,Theatre,Spain,Granada,"A cultural center with a theatre, art exhibitions, and a rooftop terrace with panoramic views.","37.16223129999999, -3.6078266",37.1622313,-3.6078266,0,0,,0
Poniente Beach,Tourist Attraction,Spain,Benidorm,"A quieter alternative to Levante Beach, known for its clean sands and crystal clear waters.","38.5372643, -0.1404646",38.5372643,-0.1404646,0,0,,0
Los Arquillos,Landmark,Spain,Vitoria-Gasteiz,"A series of arches in Vitoria-Gasteiz, connecting the Old Town to the newer part of the city.","42.8470591, -2.6717087",42.8470591,-2.6717087,0,0,,1
Woodland Park Zoo,Tourist Attraction,United States,Seattle,A 92-acre zoo that is home to over 300 animal species from around the world.,"47.668436, -122.3508786",47.668436,-122.3508786,0,0,,0
Calanques National Park,Landmark,France,Marseille,"A national park in Marseille, featuring stunning limestone cliffs, beaches, and hiking trails.","43.2178391, 5.4430178",43.2178391,5.4430178,0,0,,0
Tenerife Tram,Train Station,Spain,Tenerife,A modern tram system connecting various cities and towns in Tenerife.,"28.2915637, -16.6291304",28.2915637,-16.6291304,0,0,,0
El Golfo,Tourist Attraction,Spain,Lanzarote,A coastal village known for its green lagoon and black sand beach.,"28.9823618, -13.8306832",28.9823618,-13.8306832,0,0,,0
Plaza de la Rive,City Center,Canada,Quebec,"A popular public square in Quebec City, featuring a variety of restaurants and shops.","52.9399159, -73.5491361",52.9399159,-73.5491361,0,0,,0
Széchenyi Thermal Bath,Landmark,Hungary,Budapest,"One of the largest and most popular thermal baths in Budapest, known for its stunning architecture and healing mineral waters.","47.5186568, 19.0823791",47.5186568,19.0823791,0,0,,0
Salburua Park,Landmark,Spain,Vitoria-Gasteiz,"A large park in Vitoria-Gasteiz, featuring a lake, walking trails, and recreational areas for families and visitors.","42.8504393, -2.6503256",42.8504393,-2.6503256,0,0,,0
Termas Romanas de Campo Valdés,Landmark,Spain,Gijon,"Ancient Roman baths dating back to the 1st century AD, discovered in Gijon in the 19th century.","43.5453923, -5.6611139",43.5453923,-5.6611139,0,0,,0
Museo de la Ciencia y el Cosmos,Museum,Spain,Tenerife,A science museum with interactive exhibits and a planetarium.,"28.4756564, -16.3088835",28.4756564,-16.3088835,0,0,,0
Metrotown Station,,Canada,Burnaby,,"49.2258208, -123.003862",49.2258208,-123.003862,0,0,,1
Marjan Forest Park,Tourist Attraction,Croatia,Split,"A park on the Marjan hill, popular among locals for hiking, biking, and relaxation.","43.5094335, 16.4106153",43.5094335,16.4106153,0,0,,0
Teatro Renault,Theatre,Brazil,São Paulo,,"-23.5542941, -46.6384966",-23.5542941,-46.6384966,0,0,,0
Parc de la Tête d'Or Zoo,Landmark,France,Lyon,"A zoo located within Parc de la Tête d'Or, home to over 400 animals from around the world.","45.7783605, 4.8567797",45.7783605,4.8567797,0,0,,0
Benidorm Train Station,Train Station,Spain,Benidorm,"The main train station serving the city of Benidorm, with connections to other major cities in Spain.","38.5480138, -0.1344378",38.5480138,-0.1344378,0,0,,2
Croix-Rousse,Landmark,France,Lyon,"A vibrant neighborhood in Lyon, known for its steep streets, unique architecture, and rich history.","45.77955069999999, 4.8274481",45.7795507,4.8274481,0,0,,0
Sala São Paulo,Theatre,Brazil,São Paulo,,"-23.5342039, -46.6397684",-23.5342039,-46.6397684,0,0,,2
Pico de las Nieves,Landmark,Spain,Gran Canaria,"The highest peak on the island, offering stunning views of the surrounding landscape.","27.9638888, -15.5658333",27.9638888,-15.5658333,0,0,,0
Stadio Artemio Franchi,Stadium,Italy,Florence,,"43.7803995, 11.2834252",43.7803995,11.2834252,0,0,,0
Cumbre Vieja,Landmark,Spain,La Palma,"A volcanic ridge on the island of La Palma, known for its dramatic landscape and hiking trails.","28.5727778, -17.8375",28.5727778,-17.8375,0,0,,0
Gare de Saint-Louis les Aygalades,Train Station,France,Marseille,"A regional train station in Marseille, serving the northwestern parts of the city.","43.346122, 5.365109899999999",43.346122,5.3651099,0,0,,0
Pico de La Nieve,Landmark,Spain,La Palma,"The second-highest peak on the island of La Palma, offering panoramic views of the surrounding landscape.","28.7295927, -17.8353276",28.7295927,-17.8353276,0,0,,0
Beirut Souks,City Center,Lebanon,Beirut,"A modern shopping center in the Beirut Central District, featuring a mix of local and international brands.","33.8987294, 35.5039723",33.8987294,35.5039723,0,0,,1
Golden Horn Beach,Tourist Attraction,Croatia,Bol,"A beautiful, crescent-shaped beach in Bol, known for its crystal clear waters and unique shape.","43.2575474, 16.6342783",43.2575474,16.6342783,0,0,,0
Orange Avenue,City Center,United States,Orlando,"A historic street in downtown Orlando, featuring shops, restaurants, and nightlife.","28.5003129, -81.3761939",28.5003129,-81.3761939,0,0,,0
Basilica of Notre-Dame de Fourvière,Landmark,France,Lyon,"A stunning basilica overlooking the city of Lyon, known for its ornate architecture and stunning views.","45.7622698, 4.822638",45.7622698,4.822638,0,0,,0
Glasgow Cathedral,Landmark,United Kingdom,Glasgow,"An iconic medieval cathedral, with a rich history and stunning architecture.","55.86300240000001, -4.2345823",55.8630024,-4.2345823,0,0,,1
Headingley Stadium,Stadium,United Kingdom,Leeds,,"53.8163563, -1.5822247",53.8163563,-1.5822247,0,0,,0
Basilica de Nuestra Senora del Pino,Landmark,Spain,Gran Canaria,A grand basilica dedicated to the patron saint of Gran Canaria.,"28.0593449, -15.5478562",28.0593449,-15.5478562,0,0,,0
Sirinat National Park,Landmark,Thailand,Phuket,"A protected national park in Phuket, home to a variety of flora and fauna, as well as beautiful beaches and hiking trails.","8.0978703, 98.2991455",8.0978703,98.2991455,0,0,,0
Estadio El Campín,Stadium,Colombia,Bogotá,,"4.645921299999999, -74.07752479999999",4.6459213,-74.0775248,0,0,,0
Es Vedra,Landmark,Spain,Ibiza,"A mystical islet off the western coast of Ibiza, shrouded in legends and believed to have healing powers.","38.8680213, 1.1965146",38.8680213,1.1965146,0,0,,0
Kumu Lighthouse,Landmark,Estonia,Talinn,"A lighthouse built in the early 19th century, offering stunning views of the Gulf of Finland and surrounding islands.","59.43706489999999, 24.7975316",59.4370649,24.7975316,0,0,,0
Gran Teatro Nacional,Theatre,Peru,Lima,,"-12.0867358, -77.00309630000001",-12.0867358,-77.0030963,0,0,,0
Oxford Botanic Garden,Landmark,United Kingdom,Oxford,"The oldest botanic garden in the UK, featuring a diverse collection of plants from around the globe.","51.7509617, -1.2476936",51.7509617,-1.2476936,0,0,,0
Chinatown,Neighborhood,United States,Chicago,"A vibrant neighborhood in Chicago, featuring authentic Chinese restaurants, markets, and cultural events.","41.850691, -87.63404899999999",41.850691,-87.634049,0,0,,0
Cala Benirrás,Beach,Spain,Ibiza,"A picturesque beach on the northern coast of Ibiza, famous for its stunning sunsets and hippie drumming sessions.","39.0892175, 1.4537313",39.0892175,1.4537313,0,0,,0
Niños Héroes Metro Station,,Mexico,Monterrey,,"25.7171001, -100.3108397",25.7171001,-100.3108397,0,0,,0
Cala Comte,Beach,Spain,Ibiza,"A stunning beach on the western coast of Ibiza, known for its crystal-clear waters and beautiful sunsets.","38.9625038, 1.2201411",38.9625038,1.2201411,0,0,,0
Colmar Covered Market,Landmark,France,Colmar,"A bustling market in Colmar, featuring a variety of local produce, meats, cheeses, and more.","48.0746596, 7.359827699999999",48.0746596,7.3598277,0,0,,0
Sumiyoshi Shrine,Landmark,Japan,Osaka,"A Shinto shrine in Osaka, known for its distinctive architecture and peaceful gardens. It is a popular spot for visitors seeking a spiritual experience.","34.6653606, 135.5127322",34.6653606,135.5127322,0,0,,0
Buesa Arena,Stadium,Spain,Vitoria-Gasteiz,"A sports arena in Vitoria-Gasteiz, primarily used for basketball games and concerts.","42.8637149, -2.6409364",42.8637149,-2.6409364,0,0,,0
Santa Eulalia del Rio,City Center,Spain,Ibiza,"The third-largest town in Ibiza, known for its tranquil atmosphere and beautiful beaches.","38.9852753, 1.5350964",38.9852753,1.5350964,0,0,,0
Maximilianeum,Landmark,Germany,Munich,"A grand building serving as the seat of the Bavarian state legislature, known for its beautiful architecture and expansive views of the city.","48.1363458, 11.5943783",48.1363458,11.5943783,0,0,,0
Osaka International Convention Center,Theatre,Japan,Osaka,"A convention center in Osaka, hosting a variety of events including concerts, trade shows, and conferences. It is a popular venue for large-scale events and performances.","34.689383, 135.4862",34.689383,135.4862,0,0,,0
La Caleta,City Center,Spain,El Hierro,A charming fishing village and popular tourist destination on the island of El Hierro.,"27.8034937, -17.8860431",27.8034937,-17.8860431,0,0,,0
Musée des Beaux-Arts de Nice,Museum,France,Nice,"A notable art museum in Nice, featuring a collection of paintings and sculptures from the 16th to 20th centuries.","43.6945205, 7.2488375",43.6945205,7.2488375,0,0,,0
Alte Oper,Theatre,Germany,Frankfurt,,"50.1160319, 8.671916",50.1160319,8.671916,0,0,,0
Barrio de Cimavilla,Tourist Attraction,Spain,Gijon,"A charming neighborhood in Gijon, with traditional fishing houses, seafood restaurants, and stunning views of the sea.","43.5467029, -5.6628859",43.5467029,-5.6628859,0,0,,0
Phuket Trickeye Museum,Museum,Thailand,Phuket,"An interactive museum in Phuket, featuring 3D paintings and optical illusions for visitors to explore and take photos with.","7.888734100000001, 98.365776",7.8887341,98.365776,0,0,,0
Le Lignon,Bus Station,Switzerland,Geneva,A major bus station in Geneva serving regional and national routes.,"46.2040741, 6.0959812",46.2040741,6.0959812,0,0,,0
Cambridge University Library,Library,United Kingdom,Cambridge,"One of the largest and most important libraries in the UK, with over 9 million books.","52.2051088, 0.1077233",52.2051088,0.1077233,0,0,,0
Pajara Church,Landmark,Spain,Fuerteventura,"A historic church built in the 17th century, featuring a beautiful interior and a peaceful courtyard.","28.3508903, -14.1081189",28.3508903,-14.1081189,0,0,,0
Gare de Marseille La Blancarde,Train Station,France,Marseille,A regional train station in Marseille.,"43.3033447, 5.404340599999999",43.3033447,5.4043406,0,0,,0
Museum of Science and Industry,Museum,United States,Chicago,"The largest science museum in the Western Hemisphere, featuring interactive exhibits and hands-on activities.","41.7905726, -87.5830659",41.7905726,-87.5830659,0,0,,0
Bernex,Bus Station,Switzerland,Geneva,A major bus station in Geneva serving regional and national routes.,"46.1771976, 6.076404399999999",46.1771976,6.0764044,0,0,,0
Musée des Civilisations de l'Europe et de la Méditerranée,Museum,France,Marseille,"The main museum in Marseille, focusing on European and Mediterranean civilizations.","43.2966941, 5.3610825",43.2966941,5.3610825,0,0,,0
Mount Smart Stadium,Stadium,New Zealand,Auckland,,"-36.9182825, 174.8123959",-36.9182825,174.8123959,0,0,,0
Estadio Universitario,Stadium,Mexico,Monterrey,"A football stadium located on the campus of the Universidad Autónoma de Nuevo León, home to the Tigres UANL team.","25.7225253, -100.3119747",25.7225253,-100.3119747,0,0,,0
Phuket Zoo,Museum,Thailand,Phuket,"A family-friendly zoo in Phuket, featuring various animal shows and interactive experiences with wildlife.","7.8429587, 98.35787959999999",7.8429587,98.3578796,0,0,,0
Linnahall,Landmark,Estonia,Talinn,"A Soviet-era concert and sports venue, now abandoned and serving as a popular spot for urban exploration.","59.44657950000001, 24.7535044",59.4465795,24.7535044,0,0,,0
Estadio Heliodoro Rodríguez López,Stadium,Spain,Tenerife,"The home stadium of CD Tenerife, a popular football team in Tenerife.","28.4632978, -16.2605297",28.4632978,-16.2605297,0,0,,3
Hollywood Bowl,Theatre,United States,Los Angeles,"A historic amphitheater in the Hollywood Hills, known for hosting concerts and events since its opening in 1922.","34.112224, -118.3391279",34.112224,-118.3391279,0,0,,0
Playa d'en Bossa,Beach,Spain,Ibiza,"A popular beach on the southern coast of Ibiza, known for its lively atmosphere and water sports.","38.89654, 1.415163",38.89654,1.415163,0,0,,0
Elogio del Horizonte,Landmark,Spain,Gijon,"A famous sculpture by Spanish artist Eduardo Chillida, located on Cerro Santa Catalina and offering stunning views of Gijon's coastline.","43.5491226, -5.6630632",43.5491226,-5.6630632,0,0,,0
Brightline Aventura,,United States,Aventura,,"25.9585112, -80.1478621",25.9585112,-80.1478621,0,0,,0
Parque Nacional de Garajonay,Tourist Attraction,Spain,Canary Islands,"A UNESCO World Heritage Site and the most popular national park in the Canary Islands, located in the island of La Gomera.","28.128109, -17.2374834",28.128109,-17.2374834,0,0,,0
Schaubühne,Theatre,Germany,Berlin,,"52.4987972, 13.302375",52.4987972,13.302375,0,0,,0
Perrache railway station,Train Station,France,Lyon,"One of the main railway stations in Lyon, serving both regional and high-speed trains.","45.7429966, 4.8233039",45.7429966,4.8233039,0,0,,0
Fort St. Angelo,Landmark,Malta,Valetta,"A fortress located in the city of Birgu, across the Grand Harbor from Valletta.","35.8919494, 14.5179847",35.8919494,14.5179847,0,0,,0
Roque Nublo,Landmark,Spain,Gran Canaria,"A famous landmark and natural monument, known for its striking rock formation and scenic views.","27.9683333, -15.6108333",27.9683333,-15.6108333,0,0,,0
Bene Beach,Tourist Attraction,Croatia,Split,"A secluded beach in the Marjan Forest Park, offering a peaceful escape from the city crowds.","43.5142432, 16.4015393",43.5142432,16.4015393,0,0,,0
Błonia Park,Landmark,Poland,Krakow,"A large park in Kraków, famous for its role in historic events, including Pope John Paul II's mass in 1979.","50.0597699, 19.9095228",50.0597699,19.9095228,0,0,,0
Olympiastadion Berlin,Stadium,Germany,Berlin,,"52.5146782, 13.239517",52.5146782,13.239517,0,0,,0
Hillsborough Stadium,Stadium,United Kingdom,Sheffield,,"53.41140619999999, -1.5006157",53.4114062,-1.5006157,0,0,,0
Las Palmas de Gran Canaria Station,Train Station,Spain,Canary Islands,"The main train station in Las Palmas de Gran Canaria, connecting the city to other parts of the island.","28.1235459, -15.4362574",28.1235459,-15.4362574,0,0,,0
Palau Sant Jordi,Stadium,Spain,Barcelona,A multi-purpose indoor arena used for sports events and concerts.,"41.3639595, 2.1520405",41.3639595,2.1520405,0,0,,0
Tokyo Tower,Landmark,Japan,Tokyo,"A communications and observation tower in Tokyo, known for its resemblance to the Eiffel Tower.","35.6585805, 139.7454329",35.6585805,139.7454329,0,0,,0
Le Colisée Pepsi,Stadium,Canada,Quebec,"A former ice hockey arena in Quebec City, now used for concerts and other events.","46.8308034, -71.246335",46.8308034,-71.246335,0,0,,0
Kasjuni Beach,Tourist Attraction,Croatia,Split,"A pebble beach in the Marjan Forest Park, popular among locals for swimming and sunbathing.","43.5061619, 16.4007077",43.5061619,16.4007077,0,0,,0
Stina Winery,Tourist Attraction,Croatia,Bol,"A renowned winery in Bol, offering tours and tastings of their locally produced wines.","43.2609095, 16.6547631",43.2609095,16.6547631,0,0,,0
Kamala Beach,Tourist Attraction,Thailand,Phuket,"A quieter and more secluded beach in Phuket, known for its clear blue waters and scenic views.","7.956922100000001, 98.28309829999999",7.9569221,98.2830983,0,0,,0
Estación de Cartagena,Train Station,Spain,Cartagena,,"37.6050414, -0.9750119999999999",37.6050414,-0.975012,0,0,,3
Zračna luka Brač,Airport,Croatia,Bol,The international airport serving Bol and the island of Brač.,"43.28773779217519, 16.680690084461716",43.28773779,16.68069008,0,0,,0
Dubai World Trade Centre,City Center,United Arab Emirates,Dubai,"A multipurpose venue in the center of Dubai, hosting major conferences, exhibitions, and events.","25.2233459, 55.2869344",25.2233459,55.2869344,0,0,,1
Zurich Zoo,Landmark,Switzerland,Zurich,"One of the best zoos in Europe, home to over 400 animal species from all around the world.","47.3842845, 8.5744797",47.3842845,8.5744797,0,0,,0
Vegueta,City Center,Spain,Gran Canaria,"The oldest and most historic district of Las Palmas de Gran Canaria, known for its charming streets and traditional architecture.","29.0486444, -13.6491312",29.0486444,-13.6491312,0,0,,0
Parc Jean-Drapeau,Landmark,Canada,Montreal,"An urban park in Montreal, featuring the iconic Biosphere, a variety of outdoor activities, and hosting festivals and events throughout the year.","45.5139952, -73.5338306",45.5139952,-73.5338306,0,0,,0
La Restinga,City Center,Spain,El Hierro,"A coastal town and popular diving spot on the island of El Hierro, known for its crystal-clear waters.","27.6411981, -17.982073",27.6411981,-17.982073,0,0,,0
Betancuria Museum,Museum,Spain,Fuerteventura,"A museum showcasing the history and culture of the island, named after the former capital city of Fuerteventura.","28.4249655, -14.0769024",28.4249655,-14.0769024,0,0,,0
Lincoln Park Zoo,Tourist Attraction,United States,Chicago,"One of the oldest zoos in the United States, located in Lincoln Park and home to over 1,100 animals.","41.921703, -87.6336403",41.921703,-87.6336403,0,0,,0
Memorial Stadium,Stadium,United Kingdom,Bristol,,"51.4862276, -2.5831413",51.4862276,-2.5831413,0,0,,0
Pico de la Zarza,Landmark,Spain,Fuerteventura,"The highest point on the island of Fuerteventura, offering panoramic views of the surrounding landscape.","28.101944, -14.355556",28.101944,-14.355556,0,0,,0
Seoul World Cup Stadium,Stadium,South Korea,Seoul,,"37.5682859, 126.8972585",37.5682859,126.8972585,0,0,,0
The Hollywood Sign,Landmark,United States,Los Angeles,"A cultural icon and popular tourist attraction in Hollywood, known for its famous hillside sign overlooking the city.","34.1341151, -118.3215482",34.1341151,-118.3215482,0,0,,0
Estación de Ibiza (ferry terminal),Train Station,Spain,Ibiza,,"39.0200099, 1.4821482",39.0200099,1.4821482,0,0,,0
Calouste Gulbenkian Museum,Museum,Portugal,Lisbon,"Home to an impressive collection of art and artifacts from different civilizations, this museum is a must-visit for history enthusiasts.","38.7378124, -9.153545500000002",38.7378124,-9.1535455,0,0,,3
Plaza del Machete,City Center,Spain,Vitoria-Gasteiz,"A historic square in Vitoria-Gasteiz, known for its iconic statue of a medieval knight.","42.8472944, -2.6722499",42.8472944,-2.6722499,0,0,,1
Saphan Hin Stadium,Stadium,Thailand,Phuket,"A multi-purpose stadium in Phuket, hosting various sporting events and concerts throughout the year.","7.865419999999999, 98.3956",7.86542,98.3956,0,0,,0
Zenith de Toulouse,Theatre,France,Toulouse ,"A popular concert venue in Toulouse, known for hosting major international artists. It can seat up to 11,000 people and is considered one of the best concert halls in Europe.","43.598264, 1.4092542",43.598264,1.4092542,0,0,,0
Estación de la Sabana,Train Station,Colombia,Bogotá,,"4.607316300000001, -74.0834914",4.6073163,-74.0834914,0,0,,0
National Stadium,Stadium,Japan,Tokyo,"A newly built stadium in Tokyo, serving as the main venue for the 2020 Tokyo Olympics.","35.6800399, 139.7139449",35.6800399,139.7139449,0,0,,0
Ski Dubai,Landmark,United Arab Emirates,Dubai,"An indoor ski resort located in the Mall of the Emirates, offering year-round skiing, snowboarding, and other winter activities.","25.117204, 55.1983112",25.117204,55.1983112,0,0,,0
Palmitos Park,Tourist Attraction,Spain,Gran Canaria,A popular botanical and zoological park with a wide variety of plants and animals.,"27.8338133, -15.6173335",27.8338133,-15.6173335,0,0,,0
Rathaus,Landmark,Austria,Schwechat,"The historic town hall of Vienna, known for its intricate Neo-Gothic architecture and famous Christmas market.","48.1409268, 16.4763778",48.1409268,16.4763778,0,0,,3
Le Silo,Theatre,France,Marseille,"A popular theatre in Marseille, hosting a variety of performances.","43.31052510000001, 5.3665702",43.3105251,5.3665702,0,0,,0
İnciraltı City Forest,Landmark,Turkey,Izmir,"A large city park and forest in the Karşıyaka district of Izmir, popular for picnics and outdoor activities.","38.4080398, 27.0637471",38.4080398,27.0637471,0,0,,0
Alliance Theatre,Theatre,United States,Atlanta,,"33.7892466, -84.38540859999999",33.7892466,-84.3854086,0,0,,0
Gas Works Park,Landmark,United States,Seattle,A public park that features the remnants of a former gasification plant and offers panoramic views of the Seattle skyline.,"47.6456308, -122.3343532",47.6456308,-122.3343532,0,0,,0
Mall of the Emirates,Shopping Mall,United Arab Emirates,Dubai,"One of the largest and most popular shopping malls in the world, offering a wide variety of retail, dining, and entertainment options.","25.118107, 55.200608",25.118107,55.200608,0,0,,0
Osaka Museum of History,Museum,Japan,Osaka,"A museum showcasing the history and culture of Osaka, from ancient times to the present day. It is a popular destination for history buffs and those interested in learning about the city's past.","34.6826141, 135.5207975",34.6826141,135.5207975,0,0,,0
Parque Maritimo del Mediterraneo,Park,Spain,La Gomera,"A large seafront park in San Sebastian de La Gomera, featuring a swimming pool, gardens, and a children's play area.","28.1033035, -17.2193578",28.1033035,-17.2193578,0,0,,0
Izmir Wildlife Park,Tourist Attraction,Turkey,Izmir,"A zoo and wildlife park in Sasalı, home to over 100 species of animals from around the world.","38.4878693, 26.960413",38.4878693,26.960413,0,0,,0
Kenilworth Road (Luton Town F.C.),Stadium,United Kingdom,Luton,,"51.8842537, -0.4316345",51.8842537,-0.4316345,0,0,,0
Letná Stadium,,Czech Republic,Prague,,"50.0998287, 14.4159235",50.0998287,14.4159235,0,0,,0
Basilica of Our Lady of Candelaria,Landmark,Spain,Tenerife,A beautiful basilica dedicated to the patron saint of the Canary Islands.,"28.3512934, -16.3694216",28.3512934,-16.3694216,0,0,,0
Candelaria Basilica,Landmark,Spain,Tenerife,"A famous basilica in the town of Candelaria, home to the patron saint of the Canary Islands.","28.3512934, -16.3694216",28.3512934,-16.3694216,0,0,,0
La Aldea de San Nicolás,City Center,Spain,La Palma,"A charming village on the west coast of La Palma, known for its traditional Canarian architecture and local culture.","27.9822218, -15.7793741",27.9822218,-15.7793741,0,0,,0
Las Palmas de Gran Canaria Bus Station,Bus Station,Spain,Gran Canaria,A major bus station serving local routes and connections to other parts of the island.,"28.1235459, -15.4362574",28.1235459,-15.4362574,0,0,,0
Gare de Marseille-Blancarde,Train Station,France,Marseille,"A regional train station in Marseille, connecting to other cities in the Provence region.","43.2961991, 5.4065787",43.2961991,5.4065787,0,0,,1
MCI Airport,,United States,Kansas City,,"39.3014091, -94.7104536",39.3014091,-94.7104536,0,0,,0
Nerang Station,Train Station,Australia,Surfers Paradise,,"-27.9941022, 153.3498535",-27.9941022,153.3498535,0,0,,0
Bains des Pâquis,City Center,Switzerland,Geneva,"A popular public beach and recreation area in Geneva, offering swimming, sunbathing, and a traditional sauna.","46.2103687, 6.154191099999999",46.2103687,6.1541911,0,0,,0
Estación Observatorio,Train Station,Mexico,Mexico City,,"19.39828, -99.2004",19.39828,-99.2004,0,0,,0
Denpasar Station (bus),Bus Station,Indonesia,Bali,,"-8.6559348, 115.2168231",-8.6559348,115.2168231,0,0,,0
Osaka City Central Public Hall,Theatre,Japan,Osaka,"A historic building in Osaka, serving as a cultural center and event venue. It is known for its beautiful architecture and hosts a variety of concerts, plays, and other performances.","34.6935485, 135.5039123",34.6935485,135.5039123,0,0,,0
Kaya Plaza,City Center,Turkey,Izmir,"A modern shopping and entertainment complex in central Izmir, popular with locals and tourists alike.","38.4215337, 27.1817491",38.4215337,27.1817491,0,0,,0
Aeropuerto Teniente Julio Gallardo,Airport,Chile,Puerto Natales,The main airport serving Puerto Natales and the surrounding areas.,"-51.6707283, -72.5258355",-51.6707283,-72.5258355,0,0,,0
Zakrzówek Lagoon,Landmark,Poland,Krakow,"A man-made lagoon, a popular recreational spot for swimming, diving, and sunbathing.","50.0412396, 19.9176932",50.0412396,19.9176932,0,0,,0
TIO Stadium,Stadium,Australia,Darwin,,"-12.3991939, 130.8873116",-12.3991939,130.8873116,0,0,,0
Abbey Stadium,Stadium,United Kingdom,Cambridge,"The home ground of Cambridge United F.C., a professional football team.","52.2121495, 0.1541811",52.2121495,0.1541811,0,0,,0
NDSM-werf,Tourist Attraction,Netherlands,Amsterdam,"A former shipyard turned cultural hotspot in Amsterdam, featuring street art, live music, food trucks, and events.","52.40052379999999, 4.895832899999999",52.4005238,4.8958329,0,0,,0
Ibiza Karting,Entertainment,Spain,Ibiza,"A popular go-karting track located in San Antonio, offering adrenaline-fueled fun for all ages.","38.9776969, 1.3187584",38.9776969,1.3187584,0,0,,0
Klis Fortress,Landmark,Croatia,Split,"A medieval fortress on a hill near Split, offering panoramic views of the surrounding areas.","43.5596454, 16.5226633",43.5596454,16.5226633,0,0,,0
Preston Park Station,Train Station,United Kingdom,Brighton,,"50.8459931, -0.1550507",50.8459931,-0.1550507,0,0,,0
Villa d'Este,Landmark,Italy,Rome,"A beautiful Renaissance villa and garden in Rome, known for its stunning fountains and architecture.","41.9633123, 12.7958058",41.9633123,12.7958058,0,0,,0
Al Maktoum International Airport,Airport,United Arab Emirates,Dubai,"The second largest airport in Dubai, serving as an international hub for cargo and passenger traffic.","24.8859505, 55.1588019",24.8859505,55.1588019,0,0,,0
Montreal Botanical Garden,Landmark,Canada,Montreal,"One of the largest botanical gardens in the world, featuring over 22,000 plant species and a popular tourist attraction.","45.5596901, -73.56381739999999",45.5596901,-73.5638174,0,0,,0
Museu Nacional do Azulejo,Museum,Portugal,Lisbon,"Dedicated to Portugal's famous ceramic tiles, this museum displays a wide collection of historic and contemporary tiles.","38.7250559, -9.113539",38.7250559,-9.113539,0,0,,0
Arrecife Airport,Airport,Spain,Lanzarote,"The main airport serving Lanzarote, with international and domestic flights.","28.9504385, -13.6057602",28.9504385,-13.6057602,0,0,,0
Le Centre Videotron,Stadium,Canada,Quebec,"A multipurpose arena in Quebec City, hosting sports events and concerts.","46.8289479, -71.2483408",46.8289479,-71.2483408,0,0,,0
El Hierro Airport,Airport,Spain,El Hierro,"The only airport on the island of El Hierro, serving both domestic and international flights.","27.814067, -17.884965",27.814067,-17.884965,0,0,,0
Dubrovnik Main Train Station,Train Station,Croatia,Dubrovnik,"The main train station in Dubrovnik, connecting the city to other major cities in Croatia.","42.65066059999999, 18.0944238",42.6506606,18.0944238,0,0,,0
Europapark Bus Station,Bus Station,Austria,Schwechat,"One of the busiest bus stations in Austria, serving national and international routes.","48.1409268, 16.4763778",48.1409268,16.4763778,0,0,,3
Bâtiment des Forces Motrices,Theatre,Switzerland,Geneva,"A historic theatre in Geneva, now used for cultural performances and events.","46.2043768, 6.1365808",46.2043768,6.1365808,0,0,,0
National Museum of Beirut,Museum,Lebanon,Beirut,"The principal museum of archaeology in Lebanon, featuring a collection of artifacts and relics from prehistoric times to the medieval Mamluk period.","33.8783745, 35.5150265",33.8783745,35.5150265,0,0,,0
Beirut Central District,City Center,Lebanon,Beirut,"The commercial and financial center of Beirut, home to many of the city's high-end shops, restaurants, and hotels.","33.9055494, 35.5069447",33.9055494,35.5069447,0,0,,0
Rajamangala National Stadium,Stadium,Thailand,Bangkok,,"13.7552599, 100.6223477",13.7552599,100.6223477,0,0,,0
Scarborough Open Air Theatre,Theatre,United Kingdom,Scarborough,,"54.29463, -0.4121322",54.29463,-0.4121322,0,0,,1
Auditorio Pabellón M,Theatre,Mexico,Monterrey,"A state-of-the-art theatre and concert hall, hosting a variety of performances and events.","25.6661743, -100.3163417",25.6661743,-100.3163417,0,0,,0
Teatro Principal Antzokia,Theatre,Spain,Vitoria-Gasteiz,"A historic theatre in Vitoria-Gasteiz, hosting a variety of cultural performances throughout the year.","42.8440297, -2.6707111",42.8440297,-2.6707111,0,0,,1
La Cala,City Center,Spain,Benidorm,"A lively district in Benidorm known for its beach, bars, and restaurants.","38.5248885, -0.1660382",38.5248885,-0.1660382,0,0,,0
Marbella Golf and Country Club,Landmark,Spain,Marbella,"One of the most prestigious golf courses in the region, offering stunning views of the mountains and sea.","36.5133186, -4.8128807",36.5133186,-4.8128807,0,0,,0
Milk District,City Center,United States,Orlando,"A hip and eclectic neighborhood in Orlando, known for its restaurants, bars, and live music venues.","28.5459864, -81.34781339999999",28.5459864,-81.3478134,0,0,,0
Carouge,Landmark,Switzerland,Geneva,"A charming neighborhood in Geneva, known for its Italian-inspired architecture and lively atmosphere.","46.1829674, 6.1378539",46.1829674,6.1378539,0,0,,0
Mount Coot-tha Lookout,Tourist Attraction,Australia,Brisbane,"A popular spot for panoramic views of Brisbane and the surrounding areas, featuring a restaurant and walking trails.","-27.4850152, 152.9591263",-27.4850152,152.9591263,0,0,,0
Rue Saint-Jean,City Center,Canada,Quebec,"A vibrant street in Québec City, known for its trendy boutiques, restaurants, and lively atmosphere.","46.8065658, -71.2275422",46.8065658,-71.2275422,0,0,,0
